"file","caption","alt_text","category","png_time","StartTime"
"bio5_weightatsize.png","Weight-at-age for females",NA,"Bio",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"bio6_maturity.png","Spawning output at age (maturity x fecundity)",NA,"Bio",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"bio21_natmort.png","Natural mortality",NA,"Bio",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel14_age_flt1sex1.png","Ending year selectivity for Fleet",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel14_age_flt2sex1.png","Ending year selectivity for Acoustics",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"sel14_age_flt3sex1.png","Ending year selectivity for Trapnet",NA,"Sel",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts7_Spawning_biomass_(mt).png","Spawning biomass (mt)",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts9_Relative_spawning_biomass.png","Relative spawning biomass: B/B_MSY",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"ts_DynamicB0.png","Dynamic B0 plot. The lower line shows the time series of estimated Spawning biomass (mt) in the presence of fishing mortality. The upper line shows the time series that could occur under the same dynamics (including deviations in recruitment), but without fishing. The point at the left represents the unfished equilibrium.",NA,"Timeseries",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SR_curve.png","Stock-recruit curve.  Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SR_curve2.png","Stock-recruit curve with labels on first, last, and years with (log) deviations > 0.5. Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SR_resids.png","Deviations around the stock-recruit curve. Labels are on first, last, and years with (log) deviations > 0.5. Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"catch1 landings.png","landings",NA,"Catch",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"catch2 landings stacked.png","landings stacked",NA,"Catch",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"catch3 observed and expected landings (if different).png","observed and expected landings (if different). Catch input in numbers is compared here to catch in biomass, making this figure less useful for models like this with catch in numbers. Future versions of this plot will be improve to compare catch in the same units.",NA,"Catch",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"catch9 harvest rate.png","harvest rate",NA,"Catch",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SPR1_series.png","Timeseries of SPR",NA,"SPR",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SPR2_minusSPRseries.png","Timeseries of 1-SPR",NA,"SPR",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"SPR3_ratiointerval.png","Timeseries of SPR ratio: (1-SPR)/(1-SPR_40%)",NA,"SPR",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index2_cpuefit_Acoustics.png","Fit to index data for Acoustics. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index3_obs_vs_exp_Acoustics.png","Observed vs. expected index values with smoother for Acoustics",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index5_logcpuefit_Acoustics.png","Fit to log index data on log scale for Acoustics. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index6_log_obs_vs_exp_Acoustics.png","log(observed) vs. log(expected) index values with smoother for Acoustics",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index10_resids_SE_total_Acoustics.png","Residuals of fit to index for Acoustics.<br>Values are (log(Obs) - log(Exp))/SE where SE is the total standard error including any estimated additional uncertainty.",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"index12_resids_SE_total_Acoustics.png","Deviations for fit to index for Acoustics.<br>Values are log(Obs) - log(Exp) and thus independent of index uncertainty.",NA,"Index",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers1_sex1_beg.png","Beginning of year expected numbers at age in (max ~ 34.3 billion)",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers1_sex1_mid.png","Middle of year expected numbers at age in (max ~ 25.9 billion)",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers6_len_sex1.png","Beginning of year expected numbers at length in (max ~ 32.5 billion)",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers6_len_sex1.png","Middle of year expected numbers at length in (max ~ 13.0 billion)",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers4_equilagecomp.png","Equilibrium age distribution",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers5_ageerrorSD.png","Ageing imprecision: SD of observed age (yr)",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"numbers10_ageerror_matrix_1.png","Distribution of observed age at true age 
 for ageing error type 1",NA,"Numbers",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit__aggregated_across_time.png","Age comps, aggregated across time by fleet.
 <br> Labels 'retained' and 'discard' indicate discarded or retained sampled for each fleet. Panels without this designation represent the whole catch.
",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit__multi-fleet_comparison.png","Pearson residuals,  comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_flt1mkt0.png","Age comps, whole catch, Fleet.<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Ianelli tuning method.",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_residsflt1mkt0.png","Pearson residuals, whole catch, Fleet (max=0.43) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
